ID,question,question_En,explanation,explanation_En,hint,hint_En,first_option,second_option,third_option,fourth_option,first_option_En,second_option_En,third_option_En,fourth_option_En,answer_index,hint_option,targets,category,question_class,sub_category,wiki_link
109,در دوره کدام پادشاه بیمارستان گندی شاپور ساخته شد؟,During which king's reign was the Gundishapur hospital built?,در زمان پادشاه خسرو انوشیروان در دوره شاهنشاهی ساسانی بیمارستانی در شهر گندی شاپور ساخته شد,"During the reign of King Khosrow Anushirvan in the Sassanid Empire, a hospital was built in the city of Gundishapur",شاهنشاهی ساسانی توسط پادشاه اردشیر اول (اردشیر بابکان) در شهر استخر بنیان نهاده شد,The Sassanid Empire was founded by King Ardashir I (Ardashir Babakan) in the city of Istakhr,اردشیر اول,شاپور,خسرو انوشیروان,یزدگرد,Ardashir I,Shapur,Khosrow Anushirvan,Yazdgerd,3,1,about an option other than the answer,EDUCATION,Person,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_در_ایران
110,در کدام سال اولین گروه دانشجویان ایرانی به انگلستان اعزام شدند؟,In which year were the first group of Iranian students sent to England?,در سال 1194 هجری خورشیدی پنج نفر دانشجوی ایرانی به انگلستان فرستاده شدند.,"In the year 1194 Solar Hijri, five Iranian students were sent to England.",میرزا صالح شیرازی، از دانشجویان فرستاده شده به انگلستان، نشریه کاغذ اخبار را در سال 1216 هجری خورشیدی در ایران منتشر کرد,"Mirza Saleh Shirazi, one of the students sent to England, published the Kaghaz-e Akhbar newspaper in Iran in the year 1216 Solar Hijri",1190,1194,1216,1210,1190,1194,1216,1210,2,3,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_در_ایران
111,کدام گزینه از جایگاه های آموزش در ایران پیش از تاسیس مدارس نظامیه نبود؟,Which option was not among the educational institutions in Iran before the establishment of Nizamiyya schools?,پیش از تاسیس مدارس نظامیه در ایران، دانشگاه به شکل امروزی وجود نداشت,"Before the establishment of Nizamiyya schools in Iran, universities did not exist in their current form",دانشگاه همواره مهمترین مکان برای یادگیری تخصصی علم در ایران است,University has always been the most important place for specialized learning of science in Iran,مکتب خانه,کتابفروشی,دانشگاه,مسجد,Maktab (traditional elementary school),Bookstore,University,Mosque,3,-,about the answer,EDUCATION,Location,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_در_ایران
112,در چه دوره ای نخستین مدرسه دخترانه در ایران تاسیس شد؟,In which period was the first girls' school established in Iran?,در اواخر دوره قاجار و دوران مشروطه اولین مدارس دخترانه در کشور ایران تاسیس شد,"In the late Qajar period and during the Constitutional era, the first girls' schools were established in Iran",در دوران پهلوی، نخستین دانشگاه‌ها و دانش‌سراهای مدرن ایرانی در شهرهای مختلف ایران پدیدار شدند و ساختمان‌های تازه‌ای چون دانشسرای عالی، هنرستان‌های فنی و حرفه‌ای، هنرستان‌های صنعتی و دانشگاه تهران در شهرهای ایران پدید آمدند,"During the Pahlavi era, the first modern Iranian universities and teacher training colleges appeared in various cities of Iran, and new buildings such as the Higher Teacher Training College, technical and vocational schools, industrial schools, and the University of Tehran were established in Iranian cities",دوره قاجار,دوره پهلوی,دوره مشروطه,دوره صفویه,Qajar period,Pahlavi period,Constitutional period,Safavid period,1,2,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_در_ایران
113,در دوره مادهای ایران آموزش رسمی از قبیل خواندن و نوشتن مخصوص چه گروهی بود؟,"During the Median period of Iran, formal education such as reading and writing was specific to which group?",در دوره مادهای ایران آموزش رسمی مخصوص روحانیون بود و روحانیون خواندن و نوشتن را می آموختند,"During the Median period of Iran, formal education was specific to the clergy, and the clergy learned reading and writing",در دوره مادهای ایران، کودکان و نوجوانان راه و رسم زندگانی و کار و جنگاوری را در خانه و ایل مادها می‌آموختند,"During the Median period of Iran, children and adolescents learned the ways of life, work, and warfare in the home and tribe of the Medes",شاهزادگان,کودکان و نوجوانان,روحانیون,دبیران,Princes,Children and adolescents,Clergy,Scribes,3,2,about an option other than the answer,EDUCATION,Person,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_در_ایران
114,در چه سالی زنان ایرانی برای اولین بار در سیستم دانشگاهی پذیرش شدند؟,In what year were Iranian women first admitted to the university system?,زنان ایرانی نخستین بار در سال ۱۳۱۶ در سیستم دانشگاهی ایران پذیرش شدند.,Iranian women were first admitted to Iran's university system in 1316.,دانشگاه تهران در سال ۱۳۱۳ در ایران تاسیس شد.,University of Tehran was established in Iran in 1313.,1313,1316,1320,1325,1313,1316,1320,1325,2,1,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
115,کدام دانشگاه ایران مستقیماً تحت نظر دانشگاه پنسیلوانیای آمریکا قرار داشت؟,Which Iranian university was directly under the supervision of the University of Pennsylvania in America?,دانشگاه شیراز در ایران مستقیماً تحت نظر و مدیریت دانشگاه پنسیلوانیای آمریکا قرار داشت.,Shiraz University in Iran was directly under the supervision and management of the University of Pennsylvania in America.,دانشگاه تهران از قدیمی ترین و معتبرترین دانشگاه های کشور ایران است,University of Tehran is one of the oldest and most prestigious universities in Iran,دانشگاه تهران,دانشگاه شیراز,دانشگاه تبریز,دانشگاه مشهد,University of Tehran,Shiraz University,University of Tabriz,University of Mashhad,2,1,about an option other than the answer,EDUCATION,Group_Org,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
116,چه تعداد دانشجو در سال ۱۸۱۱ میلادی از ایران به خارج از کشور اعزام شد؟,How many students were sent from Iran to foreign countries in 1811?,در سال ۱۸۱۱ میلادی، ایران نخستین دانشجوی خود را به خارج از کشور اعزام کرد.,"In 1811, Iran sent its first student abroad.",در سال ۱۹۳۰ میلادی، بیش از ۱۵۰۰ دانشجو از کشور ایران به خارج از کشور اعزام شدند,"In 1930, more than 1500 students were sent from Iran to foreign countries",1500,100,1,50,1500,100,1,50,3,1,about an option other than the answer,EDUCATION,Number,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
117,چه کسی طرح اولیه تاسیس دانشگاه تهران در ایران را ارائه کرد؟,Who proposed the initial plan for establishing the University of Tehran in Iran?,فکر تأسیس دانشگاه تهران در سال ۱۳۰۵ خورشیدی توسط دکتر سنک، نماینده مجلس شورای ملی ایران مطرح شد.,"The idea of establishing the University of Tehran was proposed in 1305 Solar Hijri by Dr. Sank, a representative of the National Consultative Assembly of Iran.",علی اصغر حکمت در اجرایی کردن طرح اولیه تاسیس دانشگاه تهران در ایران نقش مهمی داشت.,Ali Asghar Hekmat played an important role in implementing the initial plan for establishing the University of Tehran in Iran.,دکتر حسابی,دکتر صدیق,دکتر سنک,علی اصغر حکمت,Dr. Hesabi,Dr. Sadiq,Dr. Sank,Ali Asghar Hekmat,3,4,about an option other than the answer,EDUCATION,Person,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
118,در چه سالی انقلاب فرهنگی در دانشگاه‌های ایران آغاز شد؟,In what year did the Cultural Revolution begin in Iranian universities?,انقلاب فرهنگی در سال ۱۳۵۹ در دانشگاه‌های ایران آغاز شد.,The Cultural Revolution began in Iranian universities in 1359.,انقلاب اسلامی در کشور ایران در سال 1357 شکل گرفت,The Islamic Revolution in Iran took shape in 1357,1357,1358,1359,1360,1357,1358,1359,1360,3,1,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
119,کدام دانشگاه اولین مرکز دانشگاهی ایران بود؟,Which university was the first academic center in Iran?,دانشکده مخابرات در سال ۱۳۰۷ هجری شمسی در محل فعلی دانشکده مهندسی برق دانشگاه خواجه نصیر الدین طوسی در تهران تاسیس شد و قدیمی‌ترین مرکز آموزش دانشگاهی در ایران است.,The Faculty of Communications was established in 1307 Solar Hijri at the current location of the Faculty of Electrical Engineering at Khajeh Nasir al-Din Toosi University in Tehran and is the oldest university education center in Iran.,دانشگاه خوارزمی در تهران اولین دانشگاه ایران است,Kharazmi University in Tehran is the first university in Iran,دانشکده مخابرات,دانشگاه تهران,دارالفنون,دانشگاه خوارزمی,Faculty of Communications,University of Tehran,Dar al-Funun,Kharazmi University,1,4,about an option other than the answer,EDUCATION,Group_Org,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
120,اولین دانشکده علوم پزشکی نوین ایران در کدام شهر تاسیس شد؟,In which city was the first modern medical school of Iran established?,نخستین مرکز آموزش علوم پزشکی نوین در سال ۱۲۵۷ در شهر ارومیه در ایران توسط دکتر ژوزف کاکرن از آمریکا تاسیس شد.,The first modern medical education center was established in 1257 in the city of Urmia in Iran by Dr. Joseph Cochran from America.,دانشگاه خوارزمی اولین دانشگاه در شهر تهران ایران پدید آمد,"Kharazmi University was the first university established in Tehran, Iran",تهران,تبریز,ارومیه,شیراز,Tehran,Tabriz,Urmia,Shiraz,3,1,about an option other than the answer,EDUCATION,Location,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
121,کدام دانشگاه صنعتی ایران بر اساس الگوی دانشگاه MIT آمریکا طراحی شد؟,Which Iranian technical university was designed based on the model of MIT in the United States?,دانشگاه صنعتی آریامهر تهران (دانشگاه صنعتی شریف) و دانشگاه صنعتی اصفهان هر دو مستقیماً بر اساس الگوی دانشگاه MIT آمریکا طراحی شدند.,Arya-Mehr University of Technology in Tehran (Sharif University of Technology) and Isfahan University of Technology were both directly designed based on the model of MIT in the United States.,دانشگاه فردوسی مشهد در ایران از نظر علمی و آکادمیک زیر نظر یک دانشگاه آمریکایی قرار داشت,Ferdowsi University of Mashhad in Iran was academically and scientifically supervised by an American university,دانشگاه فردوسی مشهد,دانشگاه صنعتی شریف,دانشگاه صنعتی اصفهان,گزینه ۲ و ۳,Ferdowsi University of Mashhad,Sharif University of Technology,Isfahan University of Technology,Options 2 and 3,4,1,about an option other than the answer,EDUCATION,Group_Org,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
122,اولین وزیر علوم ایران چه کسی بود؟,Who was the first Minister of Science in Iran?,علیقلی میرزا اعتضاد السلطنه توسط ناصرالدین شاه قاجار به عنوان اولین وزیر علوم ایران انتخاب شد.,Aligholi Mirza Etezad al-Saltaneh was appointed as the first Minister of Science in Iran by Naser al-Din Shah Qajar.,دارالفنون یک مؤسسه آموزشی بود که در سال ۱۲۳۰ خورشیدی توسط میرزا تقی خان امیرکبیر در تهران تأسیس شد و آن را نخستین دانشگاه مدرن تاریخ ایران می‌دانند,"Dar al-Fonun was an educational institution established in 1230 Solar Hijri by Mirza Taghi Khan Amir Kabir in Tehran, and it is considered the first modern university in the history of Iran",امیرکبیر,علیقلی میرزا,محمود حسابی,عیسی صدیق,Amir Kabir,Aligholi Mirza,Mahmoud Hesabi,Isa Sadiq,2,1,about an option other than the answer,EDUCATION,Person,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
123,کدام فرهنگستان در دوران ساسانی در ایران مشهور به آموزش پزشکی بود؟,Which academy was famous for teaching medicine in Iran during the Sassanid era?,فرهنگستان گندی شاپور در ایران از مراکز پزشکی بود که شهرت آن در پزشکی تا به امروز در تاریخ پزشکی ایران باقیست.,The Gundi Shapur academy in Iran was one of the medical centers whose reputation in medicine remains in the history of Iranian medicine to this day.,از نمونه‌های مدارس علوم پیشرفته در ایران باستان می‌توان سارویه در منطقه جندی‌شاپور را نام برد,"Among the examples of advanced science schools in ancient Iran, one can name Saruyeh in the Jundi Shapur region",نصیبین,گندی شاپور,سارویه,ریشهر,Nisibin,Gundi Shapur,Saruyeh,Rishahr,2,3,about an option other than the answer,EDUCATION,Location,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
124,کدام دانشگاه در ایران زیر نظر مقامات آلمانی تأسیس شد؟,Which university in Iran was established under German authorities?,دانشگاه گیلان در ایران زیر نظر مقامات آلمانی تأسیس شد.,Gilan University in Iran was established under German authorities.,دانشگاه بوعلی سینا در شهر همدان در ایران به کمک متخصصان خارجی تأسیس شد,"Bu-Ali Sina University in Hamadan, Iran was established with the help of foreign specialists",دانشگاه بوعلی سینا,دانشگاه گیلان,دانشگاه فردوسی,دانشگاه تبریز,Bu-Ali Sina University,Gilan University,Ferdowsi University,Tabriz University,2,1,about an option other than the answer,EDUCATION,Group_Org,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
125,در سال ۱۳۹۳ چند رشته تحصیلی در دانشگاه‌های ایران وجود داشت؟,How many academic majors existed in Iranian universities in 1393?,در سال ۱۳۹۳ بیش از ۲۱۰۰ رشته تحصیلی در دانشگاه‌های ایران وجود داشت.,"In 1393, there were more than 2100 academic majors in Iranian universities.",در سال ۱۳۹۳ حدود ۲۶۰۰ دانشگاه و موسسه آموزش عالی در کشور ایران شناسایی شدند,"In 1393, about 2600 universities and higher education institutions were identified in Iran",1800,1900,2600,2100,1800,1900,2600,2100,4,3,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/آموزش_عالی_در_ایران
126,در کدام سال طرح سوادآموزی تابعی در کشور ایران آغاز شد؟,In which year did the functional literacy program begin in Iran?,طرح سوادآموزی تابعی از سال 1346 در دو شهرستان دزفول و اصفهان در کشور ایران آغاز شد,"The functional literacy program began in 1346 in two cities, Dezful and Isfahan, in Iran",در سال 1344 طرح سوادآموزی تابعی در سطح جهانی توسط سازمان یونسکو تصویب شد,"In 1344, the functional literacy program was approved globally by UNESCO",1344,1346,1350,1355,1344,1346,1350,1355,2,1,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
127,سپاه دانش در چه سالی در ایران تاسیس شد؟,In what year was the Literacy Corps established in Iran?,سپاه دانش در سال 1341 در ایران برای آموزش در مناطق روستایی ایران تاسیس شد,The Literacy Corps was established in Iran in 1341 for education in rural areas of Iran,در سال 1343 کمیته ملی پیکار با بی‌سوادی در ایران تاسیس شد که برنامه‌های گسترده‌تری برای آموزش در مناطق روستایی ایران داشت,"In 1343, the National Committee for Combating Illiteracy was established in Iran, which had more extensive programs for education in rural areas of Iran",1341,1343,1345,1347,1341,1343,1345,1347,1,2,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
128,کدام شهر ایران اولین کلاس آموزش بزرگسالان را در سال 1328 داشت؟,Which city in Iran had the first adult education class in 1328?,اولین کلاس آموزش بزرگسالان در سال 1328 در شهر ورامین استان تهران تاسیس شد,"The first adult education class in 1328 was established in Varamin city, Tehran province",در اول مهر ۱۳۰۵ نخستین دوره‌های آموزش اکابر (بزرگسالان) در تهران زیر نظر وزارت معارف به صورت کلاسهای شبانه در ده مدرسه با هشتصد دانش‌آموز آغاز شد,"On the first of Mehr 1305, the first adult education courses in Tehran were started under the supervision of the Ministry of Education as night classes in ten schools with eight hundred students",تهران,شیراز,ورامین,اصفهان,Tehran,Shiraz,Varamin,Isfahan,3,1,about an option other than the answer,EDUCATION,Location,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
129,کدام شهر ایرانی برای اجرای طرح سوادآموزی تابعی در بخش صنعتی انتخاب شد؟,Which Iranian city was chosen for implementing the functional literacy plan in the industrial sector?,شهرهای اصفهان و دزفول به عنوان قطب‌های صنعتی و کشاورزی در ایران برای اجرای طرح سوادآموزی انتخاب شدند,Isfahan and Dezful cities were selected as industrial and agricultural hubs in Iran for implementing the literacy plan,شهر دزفول در استان خوزستان یکی از شهرهایی بود که برای اجرای طرح سوادآموزی تابعی انتخاب شد,Dezful city in Khuzestan province was one of the cities chosen for implementing the functional literacy plan,دزفول,اصفهان,یزد,ساوه,Dezful,Isfahan,Yazd,Saveh,2,1,about an option other than the answer,EDUCATION,Location,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
130,نهضت سوادآموزی در ایران چه تاریخی تاسیس شد؟,When was the Literacy Movement established in Iran?,نهضت سوادآموزی در ایران در 7 دی 1358 تاسیس شد.,The Literacy Movement in Iran was established on 7 Dey 1358.,نهضت سوادآموزی در ایران به دستور امام خمینی پس از انقلاب اسلامی ایران در سال 1357 تاسیس شد.,The Literacy Movement in Iran was established by the order of Imam Khomeini after the Islamic Revolution of Iran in 1357.,7 دی 1357,7 دی 1358,12 بهمن 1357,12 بهمن 1358,7 Dey 1357,7 Dey 1358,12 Bahman 1357,12 Bahman 1358,2,3,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
131,در سال 1361 در ایران کدام طرح سوادآموزی اجرا شد؟,In which literacy plan was implemented in Iran in 1361?,در سال 1361 در ایران طرح ضربتی سوادآموزی اجرا شد که با شکست مواجه شد,"In 1361, the rapid literacy plan was implemented in Iran, which failed",طرح فرد به فرد در سوادآموزی در ایران با موفقیت خوبی اجرا شد,The person-to-person literacy plan in Iran was implemented with good success,طرح فرد به فرد,طرح ضربتی,طرح مساجد,طرح گامی به سوی نور,Person-to-person plan,Rapid plan,Mosques plan,A Step Towards Light plan,2,1,about an option other than the answer,EDUCATION,Event,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
132,در کدام سال آموزش اجباری همگانی برای کودکان هفت سال به بالا در ایران تصویب شد؟,In which year was compulsory universal education for children seven years and older approved in Iran?,در سال 1288 شمسی آموزش اجباری همگانی برای کودکان هفت سال به بالا در ایران تصویب شد.,"In 1288 Solar Hijri, compulsory universal education for children seven years and older was approved in Iran.",در سال 1286 شمسی اولین کلاس‌های آموزش بزرگسالان در شهر شیراز ایران تشکیل شده بود,"In 1286 Solar Hijri, the first adult education classes were formed in the city of Shiraz, Iran",1286,1288,1290,1292,1286,1288,1290,1292,2,1,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
133,تعداد سوادآموزان تابعی در ایران در سال 1356 به چند نفر رسید؟,How many functional literacy learners were there in Iran in 1356?,"در سال تحصیلی 1355-1356 در ایران تعداد سوادآموزان تابعی به 67,780 نفر رسید","In the academic year 1355-1356 in Iran, the number of functional literacy learners reached 67,780 people","تعداد سوادآموزان تابعی در ایران در سال 1356 نسبت به سال قبل که 52,761 نفر بود، رشد قابل توجهی داشت","The number of functional literacy learners in Iran in 1356 had significant growth compared to the previous year, which was 52,761 people",52761,57780,67780,77780,52761,57780,67780,77780,3,1,about an option other than the answer,EDUCATION,Number,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
134,نخستین دانشگاه رسمی ایران چه نام داشت؟,What was the name of the first official university in Iran?,دارالفنون در تهران در زمان حکومت ناصرالدین شاه قاجار 7 روز پیش از قتل میرزا تقی خان امیرکبیر تاسیس شد و نخستین دانشگاه رسمی ایران محسوب می‌شود.,"Dar al-Funun was established in Tehran during the reign of Naser al-Din Shah Qajar, 7 days before the assassination of Mirza Taqi Khan Amir Kabir, and is considered the first official university in Iran.",دانشگاه خوارزمی اولین دانشگاه رسمی ایران در تهران، پایتخت ایران پدید آمد,"Kharazmi University was the first official university in Iran, established in Tehran, the capital of Iran",دارالفنون,دانشگاه خوارزمی,دانشگاه تهران,گندی‌شاپور,Dar al-Funun,Kharazmi University,University of Tehran,Gundishapur,1,2,about an option other than the answer,EDUCATION,Group_Org,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
135,در چه سالی اولین کلاس‌های اکابر در ایران تشکیل شد؟,In what year were the first adult education classes established in Iran?,اولین کلاس‌های اکابر در سال 1286 هجری شمسی در شهر شیراز در کشور ایران تشکیل شد,The first adult education classes were established in 1286 Solar Hijri in the city of Shiraz in Iran,در سال 1315 هجری شمسی سازمان تعلیمات اکابر در کشور ایران شروع به کار کرد,"In 1315 Solar Hijri, the Adult Education Organization began its work in Iran",1286,1305,1315,1320,1286,1305,1315,1320,1,3,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
136,کدام سازمان اولین نهاد رسمی سوادآموزی در ایران بود؟,Which organization was the first official literacy institution in Iran?,سازمان تعلیمات اکابر در سال ۱۳۱۵ اولین سازمان رسمی برای باسواد کردن بزرگسالان در کشور ایران بود,The Talimat-e Akaber Organization in 1315 was the first official organization for literacy education of adults in Iran,سازمان آموزش سالمندان در فاصله سال‌های ۱۳۳۲ تا ۱۳۳۵ در ایران فعالیت می‌کرد,Sazman-e Amoozesh-e Salmandan was active in Iran between 1332 and 1335,سازمان تعلیمات اکابر,نهضت سوادآموزی,سپاه دانش,سازمان آموزش سالمندان,Sazman-e Talimat-e Akaber,Nehzat-e Savadamouzi,Sepah-e Danesh,Sazman-e Amoozesh-e Salmandan,1,4,about an option other than the answer,EDUCATION,Group_Org,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
137,نرخ باسوادی در ایران در سال 1385 چند درصد بود؟,What was the literacy rate in Iran in 1385?,طبق آمار رسمی، نرخ باسوادی در ایران در سال 1385 به 84 درصد رسید,"According to official statistics, the literacy rate in Iran in 1385 reached 84 percent",نرخ باسوادی در ایران در دهه 60 از 41.7 درصد به 62 درصد ارتقا یافته است,The literacy rate in Iran in the 60s increased from 41.7 percent to 62 percent,75,80,84,62,75,80,84,62,3,4,about an option other than the answer,EDUCATION,Number,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
138,بیشترین تعداد شرکت‌کنندگان در کلاس‌های نهضت سوادآموزی در ایران در کدام سال بود؟,In which year was the highest number of participants in literacy movement classes in Iran?,"در سال ۱۳۶۶ در ایران با ۱,۶۶۰,۰۰۰ نفر بیشترین میزان شرکت‌کننده در نهضت سوادآموزی ثبت شد","In 1366 in Iran, the highest number of participants in the literacy movement was recorded with 1,660,000 people",در سال ۱۳۶۳ در ایران حدود ۸۴۴٬۰۰۰ نفر در کلاس‌های نهضت سوادآموزی شرکت کردند,"In 1363 in Iran, about 844,000 people participated in literacy movement classes",1363,1364,1365,1366,1363,1364,1365,1366,4,1,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/سوادآموزی_در_ایران
139,دانشگاه فرهنگیان در ایران در چه سالی تاسیس شد؟,When was Farhangian University established in Iran?,دانشگاه فرهنگیان در دی ماه سال ۱۳۹۰ با تصویب شورای عالی انقلاب فرهنگی در کشور ایران تاسیس شد,Farhangian University was established in Dey month of 1390 with the approval of the Supreme Council of Cultural Revolution in Iran,در سال ۱۳۸۰ بسیاری از مراکز تربیت معلم در کشور ایران در حال فعالیت بودند,"In 1380, many teacher training centers were active in Iran",1380,1390,1385,1375,1380,1390,1385,1375,2,1,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/فهرست_دانشگاه‌های_ایران
140,تعداد دانشگاه‌های کشور ایران در سال ۱۴۰۲ چقدر بود؟,How many universities were there in Iran in the year 1402?,کشور ایران تا سال ۱۴۰۲ دارای ۲۱۸۳ دانشگاه بود,Iran had 2183 universities by the year 1402,کشور ایران تا سال ۱۴۰۲، دارای ۳۰۰۰ مورد مراکز آموزشی و موسسات کوچک آموزشی بود,"By the year 1402, Iran had 3000 educational centers and small educational institutions",1500,2183,3000,1000,1500,2183,3000,1000,2,3,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/فهرست_دانشگاه‌های_ایران
141,دانشگاه جامع علمی کاربردی ایران در چه سالی تاسیس شد؟,When was the University of Applied Science and Technology of Iran established?,دانشگاه جامع علمی کاربردی ایران در سال ۱۳۷۱ توسط وزارت علوم، تحقیقات و فناوری ایران تاسیس شد,"The University of Applied Science and Technology of Iran was established in 1371 by the Ministry of Science, Research and Technology of Iran",در سال ۱۳۶۱ دانشگاه آزاد اسلامی ایران توسط اکبر هاشمی رفسنجانی تاسیس شد,"In 1361, the Islamic Azad University of Iran was established by Akbar Hashemi Rafsanjani",1371,1361,1381,1351,1371,1361,1381,1351,1,2,about an option other than the answer,EDUCATION,Date_Time,Education System AND Literacy,https://fa.wikipedia.org/wiki/فهرست_دانشگاه‌های_ایران
142,اولین واحد دانشگاه آزاد اسلامی ایران کدام بود؟,Which was the first branch of Islamic Azad University in Iran?,دانشگاه آزاد اسلامی واحد تهران مرکزی در ایران اولین واحد دانشگاه آزاد اسلامی بود,"Islamic Azad University, Central Tehran Branch, was the first branch of Islamic Azad University in Iran",واحد تبریز در ایران یکی از بزرگترین و قدیمی‌ترین واحدهای دانشگاه آزاد اسلامی است,Tabriz Branch in Iran is one of the largest and oldest branches of Islamic Azad University,واحد تبریز,واحد تهران مرکزی,واحد مشهد,واحد اصفهان,Tabriz Branch,Central Tehran Branch,Mashhad Branch,Isfahan Branch,2,1,about an option other than the answer,EDUCATION,Location,Education System AND Literacy,https://fa.wikipedia.org/wiki/فهرست_دانشگاه‌های_ایران
143,تعداد پردیس‌های خواهران دانشگاه فرهنگیان در ایران چند عدد است؟,How many female campuses of Farhangian University are there in Iran?,دانشگاه فرهنگیان در ایران دارای ۳۲ پردیس خواهران است.,Farhangian University in Iran has 32 female campuses.,در کشور ایران، دارای 31 استان است و پردیس‌های دانشگاه فرهنگیان به گونه‌ای سازماندهی شده‌اند که هر استان حداقل یک پردیس خواهران دارد.,"In Iran, which has 31 provinces, the campuses of Farhangian University are organized in such a way that each province has at least one female campus.",25,32,31,35,25,32,31,35,2,3,about an option other than the answer,EDUCATION,Number,Education System AND Literacy,https://fa.wikipedia.org/wiki/فهرست_دانشگاه‌های_ایران
144,در سال ۱۳۹۷ چند واحد دانشگاه پیام نور در ایران تعطیل شد؟,How many Payame Noor University units were closed in Iran in 1397?,در سال ۱۳۹۷، ۸۰ واحد و مرکز دانشگاه پیام نور در کشور ایران تعطیل شد,"In 1397, 80 units and centers of Payame Noor University were closed in Iran",تعداد ۱۰۰ واحد از دانشگاه پیام نور در ایران در برنامه اولیه تعطیلی سال ۱۳۹۷ قرار داشت,100 units of Payame Noor University in Iran were in the initial closure plan of 1397,100,80,70,90,100,80,70,90,2,1,about an option other than the answer,EDUCATION,Number,Education System AND Literacy,https://fa.wikipedia.org/wiki/فهرست_دانشگاه‌های_ایران
145,کدام دانشگاه با بیش از ۱۷۶ آموزشکده بزرگترین دانشگاه ایران است؟,Which university with more than 176 faculties is the largest university in Iran?,دانشگاه صنعتی ملی مهارت با بیش از ۱۷۶ آموزشکده و ۲۵۰ هزار دانشجو بزرگترین دانشگاه ایران است,"National Technical University of Skills with more than 176 faculties and 250,000 students is the largest university in Iran",دانشگاه آزاد اسلامی با داشتن واحدهای متعدد در سراسر کشور ایران یکی از گسترده‌ترین شبکه‌های دانشگاهی ایران است,Islamic Azad University with its numerous branches throughout Iran is one of the most extensive university networks in Iran,دانشگاه آزاد اسلامی,دانشگاه صنعتی ملی مهارت,دانشگاه تهران,دانشگاه پیام نور,Islamic Azad University,National Technical University of Skills,University of Tehran,Payame Noor University,2,1,about an option other than the answer,EDUCATION,Group_Org,Education System AND Literacy,https://fa.wikipedia.org/wiki/فهرست_دانشگاه‌های_ایران
